customer_id,activation_promo,promo_name
45142882,2026-01-10,Regular Promo Juli 2025 - NAB
45174745,2026-01-03,Regular Promo Juli 2025 C Class Area - NAB
45175387,2026-01-06,Regular Promo Juli 2025 - NAB
45190899,2026-01-07,Regular Promo Juli 2025 - NAB
45240777,2026-02-01,Regular Promo Juli 2025 - NAB
45260445,2026-01-17,Regular Promo Juli 2025 - Bill in Advance Pay 6 Get 7 - NAB
45267361,2026-01-22,Regular Promo Juli 2025 C Class Area - NAB
45275207,2026-01-09,Regular Promo Juli 2025 - NAB
45279311,2026-02-01,Regular Promo Juli 2025 C Class Area - NAB
45284034,2026-01-23,Regular Promo Juli 2025 - NAB
45285953,2026-01-04,Regular Promo Juli 2025 C Class Area - NAB
45287703,2026-01-15,Regular Promo Juli 2025 C Class Area - NAB
45289660,2026-01-02,Regular Promo Juli 2025 C Class Area - NAB
45290046,2026-01-17,Regular Promo Juli 2025 C Class Area - NAB
45290721,2026-01-11,Regular Promo Juli 2025 - NAB
45293044,2026-01-27,Regular Promo Juli 2025 - NAB
45297613,2026-01-21,Regular Promo Juli 2025 - NAB
45298900,2026-01-10,Regular Promo Juli 2025 C Class Area - NAB
45300575,2026-01-08,Regular Promo Juli 2025 C Class Area - NAB
45300993,2026-01-26,Regular Promo Juli 2025 - NAB
45309301,2026-01-23,Regular Promo Juli 2025 - NAB
45309760,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45312107,2026-01-17,Regular Promo Juli 2025 C Class Area - NAB
45318328,2026-01-15,Regular Promo Juli 2025 C Class Area - NAB
45320376,2026-01-09,Regular Promo Juli 2025 - NAB
45320473,2026-01-24,Regular Promo Juli 2025 - NAB
45322902,2026-01-10,Regular Promo Juli 2025 - NAB
45327527,2026-01-27,Regular Promo Juli 2025 C Class Area - NAB
45332998,2026-01-15,Regular Promo Juli 2025 C Class Area - NAB
45347462,2026-01-10,Regular Promo Juli 2025 - NAB
45357632,2026-01-09,Regular Promo Juli 2025 C Class Area - Bill In Advance Pay 6 Get 7 - NAB
45357639,2026-01-14,Regular Promo Juli 2025 C Class Area - NAB
45359233,2026-01-08,Regular Promo Juli 2025 C Class Area - NAB
45360985,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45363976,2026-01-05,Regular Promo Juli 2025 - NAB
45367211,2026-01-01,Regular Promo Juli 2025 - NAB
45367964,2026-01-16,Regular Promo Juli 2025 C Class Area - NAB
45368956,2026-01-18,Regular Promo Juli 2025 C Class Area - NAB
45369389,2026-01-24,Regular Promo Juli 2025 - NAB
45369714,2026-01-11,Regular Promo Juli 2025 C Class Area - NAB
45375105,2026-01-22,Regular Promo Juli 2025 - NAB
45380164,2026-01-21,Complimentary 100% - 12 Months
45387961,2026-01-22,Regular Promo Juli 2025 C Class Area - NAB
45388004,2026-01-24,Regular Promo Juli 2025 - NAB
45388242,2026-01-09,Regular Promo Juli 2025 - NAB
45388437,2026-01-09,Regular Promo Juli 2025 C Class Area - NAB
45389462,2026-01-23,Regular Promo Juli 2025 C Class Area - NAB
45390319,2026-01-01,Regular Promo Juli 2025 - NAB
45394254,2026-01-05,Regular Promo Juli 2025 - NAB
45394578,2026-01-15,Regular Promo Juli 2025 C Class Area - NAB
45394934,2026-01-12,Regular Promo Juli 2025 C Class Area - NAB
45397334,2026-01-19,Regular Promo Juli 2025 C Class Area - NAB
45398050,2026-02-01,Regular Promo Juli 2025 C Class Area - NAB
45399909,2026-01-21,Regular Promo Juli 2025 - NAB
45400154,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45402041,2026-01-09,Regular Promo Juli 2025 C Class Area - NAB
45402463,2026-01-09,Regular Promo Juli 2025 C Class Area - NAB
45404378,2026-01-12,Regular Promo Juli 2025 C Class Area - NAB
45405703,2026-01-13,Regular Promo Juli 2025 C Class Area - NAB
45406503,2026-01-15,Regular Promo Juli 2025 - NAB
45407052,2026-01-16,Regular Promo Juli 2025 C Class Area - NAB
45408479,2026-01-22,Regular Promo Juli 2025 C Class Area - NAB
45409223,2026-01-09,Regular Promo Juli 2025 C Class Area - NAB
45409972,2026-01-25,Regular Promo Juli 2025 C Class Area - NAB
45410311,2026-01-23,Regular Promo Juli 2025 C Class Area - NAB
45410751,2026-01-06,Regular Promo Juli 2025 - NAB
45413615,2026-01-20,Regular Promo Juli 2025 C Class Area - NAB
45413787,2026-01-09,Regular Promo Juli 2025 C Class Area - NAB
45415493,2026-01-05,Regular Promo Juli 2025 C Class Area - NAB
45419533,2026-01-24,Regular Promo Juli 2025 C Class Area - NAB
45419652,2026-01-12,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
45419701,2026-01-12,Promo Recovery 10% 2025
45420251,2026-01-13,Regular Promo Juli 2025 - NAB
45420800,2026-01-01,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
45420965,2026-01-22,Regular Promo Juli 2025 - NAB
45421220,2026-01-08,Regular Promo Juli 2025 - Bill in Advance Pay 6 Get 7 - NAB
45421716,2026-01-07,Regular Promo Juli 2025 C Class Area - NAB
45421949,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45421972,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422028,2026-01-11,Regular Promo Juli 2025 C Class Area - NAB
45422069,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422133,2026-01-16,Regular Promo Juli 2025 C Class Area - NAB
45422214,2026-01-23,Regular Promo Juli 2025 C Class Area - NAB
45422378,2026-01-05,Regular Promo Juli 2025 C Class Area - NAB
45422389,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422413,2026-01-04,Regular Promo Juli 2025 C Class Area - NAB
45422508,2026-01-03,Regular Promo Juli 2025 C Class Area - NAB
45422556,2026-01-09,Regular Promo Juli 2025 C Class Area - NAB
45422587,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422643,2026-01-01,Regular Promo Juli 2025 - NAB
45422685,2026-01-05,Regular Promo Juli 2025 - NAB
45422690,2026-01-01,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
45422705,2026-01-01,Regular Promo Juli 2025 - NAB
45422719,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422753,2026-01-01,Regular Promo Juli 2025 - NAB
45422756,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422763,2026-01-01,Regular Promo Juli 2025 - NAB
45422771,2026-01-18,Regular Promo Juli 2025 C Class Area - NAB
45422783,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422793,2026-01-03,Regular Promo Juli 2025 - NAB
45422797,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422800,2026-01-01,Regular Promo Juli 2025 - NAB
45422802,2026-01-02,Regular Promo Juli 2025 - NAB
45422803,2026-01-01,Regular Promo Juli 2025 - NAB
45422805,2026-01-05,Regular Promo Juli 2025 C Class Area - NAB
45422809,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422826,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422827,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422833,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422845,2026-01-01,Regular Promo Juli 2025 - NAB
45422849,2026-01-01,Regular Promo Juli 2025 - NAB
45422850,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422871,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422872,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422881,2026-01-02,Regular Promo Juli 2025 C Class Area - NAB
45422886,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422887,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422888,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422889,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422890,2026-01-01,Regular Promo Juli 2025 - NAB
45422891,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422892,2026-01-01,Regular Promo Juli 2025 - NAB
45422893,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422894,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422896,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422898,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422899,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422900,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422901,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422902,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422903,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422904,2026-01-01,Regular Promo Juli 2025 - NAB
45422906,2026-01-01,Regular Promo Juli 2025 - NAB
45422907,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422908,2026-01-03,Regular Promo Juli 2025 C Class Area - NAB
45422909,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422911,2026-01-01,Regular Promo Juli 2025 - NAB
45422912,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422913,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422914,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
45422915,2026-01-01,Regular Promo Juli 2025 C Class Area - NAB
