Customer ID,Activation Promo,Promo Name
21002274,2026-03-04,Regular Promo Juli 2025 C Class Area - Bill In Advance Pay 12 Get 15 - NAB
21005871,2026-03-18,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
21011465,2026-03-01,Promo Loyalty Customer 2025 - Bill in Advance Pay 12 Get 18
21011820,2026-04-01,Promo Loyalty Customer 2025 - Speedboost + Discount 12 Months
21012745,2026-04-02,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
21014071,2026-03-20,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
21020193,2026-03-05,Promo Loyalty Customer 2025 - Bill in Advance Pay 12 Get 18
21040449,2026-03-12,Promo Loyalty Customer 2025 - Speedboost + Discount 6 Months
21041074,2026-03-06,Promo Loyalty Customer 2025 - Bill in Advance Pay 12 Get 18
21049044,2026-03-19,Promo Loyalty Customer 2025 - Speedboost + Discount 12 Months
21049051,2026-03-17,Promo Autopayment Program November 2023
21050646,2026-03-28,Promo Loyalty Customer 2025 - Speedboost + Discount 6 Months
21058086,2026-03-16,Regular Promo Juli 2025 - Bill in Advance Pay 12 Get 15 - NAB
21066150,2026-03-01,Regular Promo Juli 2025 - Bill in Advance Pay 6 Get 7 - NAB
21067443,2026-04-16,Promo Autopayment Program November 2023
21069070,2026-04-14,Regular Promo Juli 2025 - Bill in Advance Pay 6 Get 7 - NAB
21069098,2026-03-08,Regular Promo Juli 2025 - NAB
21071340,2026-03-14,Regular Promo Juli 2025 - NAB
21072275,2026-03-28,Regular Promo Lebaran 2026 - NAB
21072440,2026-03-22,Regular Promo Juli 2025 - Bill in Advance Pay 6 Get 7 - NAB
21073007,2026-03-19,Regular Promo Juli 2025 - NAB
21073909,2026-03-24,Regular Promo Juli 2025 C Class Area - NAB
21075218,2026-03-18,Regular Promo Juli 2025 - NAB
21075509,2026-03-12,Regular Promo Juli 2025 C Class Area - NAB
21076067,2026-03-11,Regular Promo Juli 2025 - NAB
21077599,2026-03-19,Promo Loyalty Customer 2025 - Speedboost + Discount 6 Months
21077641,2026-03-20,Promo Loyalty Customer 2025 - Speedboost + Discount 12 Months
21077725,2026-03-24,Regular Promo Lebaran 2026 C Class Area - NAB
21079511,2026-03-06,Regular Promo Juli 2025 - NAB
21079992,2026-03-26,Regular Promo Lebaran 2026 - Bill in Advance Pay 12 Get 15 - NAB
21080663,2026-03-04,Promo Loyalty Customer 2025 - Speedboost + Discount 6 Months
21081449,2026-03-25,Complimentary 100% - 12 Months
21082327,2026-03-22,Regular Promo Juli 2025 - Bill in Advance Pay 6 Get 7 - NAB
